文章代號,詞語,詞頻,詞權
A001,numerous,1,1%
A001,significant,1,1%
A001,deliver,1,1%
A001,full,1,1%
A001,CUTOLO,1,1%
A001,Business,1,1%
A001,Line,1,1%
A001,Manager,1,1%
A001,Nelson,1,1%
A001,DOSSOGNE,1,1%
A001,consultant,1,1%
A001,part,1,1%
A001,Initio,1,1%
A001,niche,1,1%
A001,player,1,1%
A001,consulting,1,1%
A001,Financial,1,1%
A001,sector,1,1%
A001,Tags,1,1%
